nome;descricao;bairro;logradouro;Telefone;latitude;longitude
"Teatro do Parque";"Completado 100 anos em 2015 o teatro se encontra fechado para obras desde 2014 com previsão para voltar a funcionar em Novembro de 2016.";"Boa Vista";"Rua do Hospício. 81 ";(81)33551553;-8.061976;-34.884742
"Teatro Barreto Júnior";"Primeiro teatro da zona sul da cidade local onde funcionava o CineAtlântico recebe espetáculos internacionais e festivais de dança locais.";"Pina";"Endereço: Rua Estudante Jeremias Bastos. s/n";(81) 33556398  / 33556399;-8.090579;-34.884095
"Teatro de Santa Isabel";"Primeiro e mais expressivo exemplar de arquitetura neoclássica em Pernambuco idealizado por Francisco do Rego Barros atualmente proporciona visitas guiadas e concertos da Orquestra Sinfônica do Recife além de espetáculos com temáticas variadas.";"Santo Antonio";"Praça da República - s/n";(81) 3355.3323 /  33553324;-8.060693;-34.878138
"Teatro Apolo";"Com fachada em mármore de Lisboa o teatro integra o Centro de Formações e Pesquisas das Artes Cênicas ApoloHermilo. Estilo Neoclássio";"Recife";"Rua do Apolo 121";(81) 33553320 / 33553321;-8.061439;-34.872534
"Teatro Hermilo Borba Filho";"A partir da adaptação de dois armazéns que ficavam nos fundos do Teatro Apolo surge o teatro Hermilo Borba Filho com espaço de configuração flexível permitindo ajustes de suas arquibancadas em função do espetáculo. Possui programação com preços populares.";"Recife";"Cais do Apolo s/n";(81) 33553320 / 33553321;-8.06183;-34.872795
"Teatro Luiz Mendonça";"Instalado no Parque Dona Lindu bairro de Boa Viagem o teatro é um dos mais recentes da capital pernambucana e possui um sistema reversível possibilitando funcionamento tanto para a área interna quanto para a esplanada em casos de apresentações ao ar livre.";"Boa Viagem";"Av. Boa Viagem s/n";(81) 33559821 / 33559823;-8.141965;-34.903683
"Teatro Boa Vista";"Criado em 2010 nas dependências do Colégio Salesiano o Teatro Boa Vista dispõe de 800 lugares para o público e recebe festivais de dança e peças infantis nacionais.";"Boa Vista";"R. Dom Bôsco 551";(81) 21295961;-8.0605756;-34.8935803
"Teatro Arraial";"Localizado na Rua da Aurora O Teatro Arraial Ariano Suassuna é um equipamento de pequeno porte com apenas 94 poltronas e dois camarins. Em seu acervo o espaço conta com 150 fonogramas para utilização nos espetáculos e possui programação variada destinada a um público de todas as idades.";"Boa Vista";"R. da Aurora 457";(81) 31843057;-8.0599357;-34.8803492
"Teatro Valdemar Oliveira";"No bairro da Soledade o Teatro Valdemar Oliveira é um espaço moderno de médio porte muito utilizado para peças infantis.";"Soledade";"Praça Osvaldo Cruz 412";(81) 32221200 / 32221284;-8.055285;-34.8914722
"Teatro Alfredo de Oliveira";"Localizado na Praça Osvaldo Cruz o espaço de artes cênicas possui programação variada visando todos os públicos";"Soledade";"Praça Osvaldo Cruz 412A";(81) 32221284;-8.0556155;-34.8918026
"Teatro Marco Camarotti";"Pertencente ao Sesc Santo Amaro o Teatro Marco Camarotti é ativo e possui programação variada contemplando públicos de todas as idades.";"Santo Amaro";" R. Treze de Maio 455 ";(81) 32161728;-8.0496014;-34.8818494
"Teatro Joaquim Cardozo";"No Casarão do Centro Cultural Benfica bairro da Madalena o teatro possui apenas 50 lugares com o intuito de oferecer um contato maior entre artista e público.";"Madalena";"R. Benfica 157";(81) 21267388;-8.0600654;-34.901732
"Teatro Rio Mar";"Pertencente ao Shopping Rio Mar o teatro possui capacidade para 696 espectadores e conta com equipamentos e sistemas de áudio e iluminação de alta qualidade. É acessível para cadeirantes e pessoas com dificuldade de locomoção.";"Pina";"Av. República do Líbano 251";;-8.0861186;-34.89483
